County,year,Active Dentists,Active Primary Care Physicians,Beds in General Hospitals,Deaths by Injury or Violence,Divorces,General Hospital Discharges,Infant Deaths,Low-Weight Births Under 2500 Grams,Marriages,Midlevel Practitioners,Nongeriatric Deaths,Nursing Facility Beds,Persons Served in Area Mental Health Programs,Pregnancies for Females 15-19,Pregnancies for Females of All Ages,Registered Nurses,Reported Abortions,Resident Deaths,Resident Live Births,"Total Active Physicians, Nonfederal, Non-resident-in-tr",Am. Indian Alaska Native Median Household Income,Am. Indian Alaska Native Per Capita Money Income (Census),Am. Indian Alaska Native Persons in Poverty,Am. Indian Alaska Native Population for Whom Poverty Is Determined,Annual Wages by Place of Work,Average Annual Employment by Place of Work,Average Annual Wage per Worker,Black Median Household Income,Black Persons for Whom Poverty Status Is Determined,Black Persons in Poverty,Black Unemployment Rate (ACS),Employed Females Age 16 Up,Employed Males Age 16 Up,Employment by Place of Residence,Estimated Median Family Income(HUD),Families in Poverty,Families in Poverty with Female Householder,Families in Poverty with Related Children,Families in Poverty/Female Householder & Children,"Families with Income $10,000-14,999","Families with Income $15,000-24,999","Families with Income $25,000-49,999","Families with Income $50,000 or More",Female Unemployment Rate (ACS),Females Age 16 Up in Labor Force,First Quarter Payroll by Place of Work,Hispanic Median Household Income,Hispanic Persons in Poverty,Hispanic Population for Whom Poverty is Determined,Labor Force by Place of Residence,Male Unemployment Rate (ACS),Males Age 16 Up in Labor Force,Manufacturing Employment by Place of Work,Manufacturing Employment for Residents Age 16 Up,Mean Family Income,Median Family Income,Median Female Income,Median Household Income_x,Median Income,Median Male Income,Nonagric. Wage & Salary Employment by Place of Work,Nonmanuf. Employment for Residents Age 16 Up,Nonmanufacturing Employment by Place of Work,Per Capita Money Income (Census),Percent  of White Persons in Poverty,Percent of Am. Indian Alaska Native Persons in Poverty,Percent of Black Persons in Poverty,Percent of Hispanic Persons in Poverty,Percent of Persons 65 Up in Poverty,Percent of Persons in Poverty,Percent of Related Children under 18 in Poverty,Percent of Related Children under 6 in Poverty,Persons 65 Up for Whom Poverty Status Is Determined,Persons 65 Up in Poverty,Persons for Whom Poverty Status Is Determined,Persons in Poverty,Related Children under 18 in Poverty,Related Children under 18-Poverty Status Determined,Related Children under 6 in Poverty,Related Children under 6-Poverty Status Determined,Unemployed Females Age 16 Up,Unemployed Males Age 16 Up,Unemployment Rate (ACS),Unemployment Rate by Place of Residence (Percent),Unemployment by Place of Residence,White Persons for Whom Poverty Status Is Determined,White Persons in Poverty,Population Age 0-4,Population Age 10-12,Population Age 13,Population Age 14,Population Age 15,Population Age 16-17,Population Age 18,Population Age 19,Population Age 20-24,Population Age 25-29,Population Age 30-34,Population Age 35-39,Population Age 40-44,Population Age 45-49,Population Age 5,Population Age 50-54,Population Age 55-59,Population Age 6-9,Population Age 60-64,Population Age 65-69,Population Age 70-74,Population Age 75-79,Population Age 80-84,Population Age 85 and Over,FIPS,Pct HS Educated,People (<High School),National Rank (HS Education),Median Household Income_y,National Rank (Income),Percent Below Poverty,People (Below Poverty),National Rank (Poverty),Percent Unemployed,People (Unemployed),National Rank (Unemployment)
Alamance County,2020,70.0,96.0,182.0,185.0,539.0,12498.0,11.0,183.0,893.0,134.0,531.0,888.0,3685.0,133.0,2270.0,1114.0,422.0,2050.0,1831.0,281.0,47500.0,21847.0,90.0,681.0,2745533987.0,59769.0,45936.0,39764.0,32224.0,8034.0,9.13,38044.0,38033.0,74625.0,64200.0,4870.0,3277.0,3635.0,2819.0,1251.0,3367.0,9406.0,26388.0,2.8,40068.0,686665154.0,46068.0,5054.0,20784.0,80457.0,3.7,42160.0,8482.0,12276.0,83335.0,66737.0,265342.0,51580.0,317944.0,369402.0,54211.0,65476.0,45729.0,27944.0,11.97,13.22,24.93,24.32,8.97,15.42,21.9,21.6,27134.0,2433.0,161433.0,24893.0,7887.0,36014.0,2440.0,11296.0,1984.0,2320.0,4.18,7.3,5832.0,110861.0,13266.0,2401.0,1601.5,572.5,567.25,572.75,1162.75,701.75,768.75,3256.5,2664.5,2599.25,2383.5,2450.75,2776.75,465.25,2896.25,2951.5,1898.0,2704.25,2341.75,1976.25,1391.0,901.25,990.0,37001.0,12.3,13953.0,"1,891",55078.0,"1,666",14.4,23671.0,"1,777",5.1,4253.0,"1,696"
Alexander County,2020,5.0,8.0,25.0,38.0,52.0,0.0,1.0,28.0,131.0,25.0,131.0,183.0,1373.0,23.0,377.0,130.0,28.0,502.0,346.0,13.0,58468.0,13170.0,0.0,288.0,324770665.0,8672.0,37450.0,42545.0,1264.0,395.0,3.74,7820.0,8794.0,16377.0,61000.0,891.0,375.0,671.0,311.0,177.0,780.0,2675.0,6226.0,3.4,8326.0,84106562.0,44929.0,633.0,1753.0,17694.0,3.3,9527.0,3278.0,4772.0,81515.0,63295.0,230351.0,51329.0,287683.0,363341.0,7631.0,12049.0,4353.0,27446.0,9.44,0.0,31.25,36.11,8.65,12.3,22.19,23.27,7344.0,635.0,35788.0,4403.0,1616.0,7283.0,503.0,2162.0,506.0,526.0,4.555,7.5,1317.0,31936.0,3014.0,436.0,309.25,107.25,114.25,110.75,207.75,105.25,102.5,514.25,608.0,531.0,537.75,542.5,623.25,85.25,637.5,694.75,352.25,610.5,552.25,515.75,367.5,238.25,189.25,37003.0,15.0,3921.0,"2,314",55041.0,"1,673",11.5,4056.0,"1,106",4.8,828.0,"1,527"
Alleghany County,2020,2.0,7.0,41.0,15.0,40.0,154.0,0.0,8.0,73.0,9.0,36.0,90.0,561.0,7.0,106.0,41.0,7.0,158.0,96.0,19.0,0.0,0.0,0.0,50.0,107531734.0,3059.0,35153.0,0.0,160.0,114.0,0.0,2061.0,2401.0,3903.0,47900.0,559.0,256.0,468.0,237.0,208.0,443.0,981.0,1598.0,2.4,2177.0,25384893.0,26865.0,622.0,1075.0,4210.0,1.0,2572.0,584.0,519.0,69940.0,46953.0,203060.0,37158.0,239063.0,273449.0,2500.0,4068.0,1916.0,26026.0,22.13,0.0,71.25,57.86,13.19,22.61,40.38,45.51,2973.0,392.0,10977.0,2482.0,768.0,1902.0,238.0,523.0,116.0,46.0,2.46,7.4,307.0,10450.0,2313.0,118.25,81.5,31.75,35.25,27.5,56.75,29.25,34.5,161.25,146.5,117.5,168.5,165.75,159.0,26.25,167.0,176.75,94.75,196.5,189.0,186.75,139.75,94.0,112.75,37005.0,20.5,1722.0,"2,886",38930.0,"2,946",21.5,2321.0,"2,761",4.6,207.0,"1,351"
Anson County,2020,3.0,7.0,15.0,31.0,66.0,406.0,5.0,43.0,96.0,11.0,110.0,161.0,1691.0,33.0,348.0,102.0,64.0,340.0,278.0,19.0,0.0,28183.0,5.0,56.0,263859671.0,6874.0,38385.0,32237.0,11129.0,3177.0,10.72,5247.0,4899.0,9617.0,49100.0,975.0,730.0,726.0,658.0,256.0,988.0,1253.0,3063.0,3.2,5584.0,65368576.0,34337.0,103.0,966.0,10421.0,5.0,5627.0,1426.0,2748.0,64011.0,52429.0,242759.0,39799.0,259105.0,305712.0,6599.0,7605.0,5173.0,22483.0,8.8,8.93,28.55,10.66,15.72,18.77,31.32,41.49,4409.0,693.0,22715.0,4264.0,1511.0,4824.0,575.0,1386.0,311.0,521.0,5.695,7.8,805.0,10928.0,962.0,315.75,212.25,70.75,67.5,64.75,139.5,67.75,71.75,331.75,360.25,358.25,349.75,327.75,332.75,56.0,371.0,365.25,245.0,352.5,315.5,280.5,196.75,116.75,137.75,37007.0,17.5,2804.0,"2,598",39862.0,"2,904",18.3,3822.0,"2,461",7.3,717.0,"2,650"
Ashe County,2020,8.0,15.0,76.0,23.0,78.0,1057.0,2.0,20.0,157.0,28.0,80.0,210.0,1288.0,29.0,242.0,156.0,9.0,400.0,233.0,29.0,0.0,18723.0,12.0,68.0,269289175.0,7024.0,38338.0,57353.0,172.0,65.0,62.5,5914.0,6215.0,11878.0,52900.0,811.0,407.0,556.0,289.0,98.0,919.0,2271.0,4368.0,2.9,6259.0,66174959.0,27303.0,407.0,1349.0,12663.0,2.0,6714.0,905.0,1420.0,64186.0,53971.0,251955.0,43030.0,278289.0,291819.0,6334.0,10971.0,5429.0,25282.0,14.74,17.65,37.79,30.17,8.73,14.83,20.0,19.38,6656.0,581.0,26703.0,3959.0,924.0,4620.0,268.0,1383.0,345.0,228.0,3.41,6.3,786.0,25631.0,3779.0,264.75,222.25,72.75,74.5,73.25,143.0,72.0,71.0,344.5,344.0,345.0,382.0,380.0,403.75,55.0,432.5,493.5,246.0,483.75,488.5,452.5,332.25,242.0,214.5,37009.0,13.0,2638.0,"1,996",43938.0,"2,674",14.0,3675.0,"1,691",5.1,660.0,"1,721"
Avery County,2020,9.0,9.0,30.0,18.0,43.0,696.0,0.0,8.0,100.0,23.0,57.0,128.0,814.0,11.0,153.0,113.0,17.0,246.0,136.0,25.0,42625.0,5982.0,30.0,73.0,236967507.0,6413.0,36951.0,0.0,31.0,13.0,44.74,3142.0,3342.0,6825.0,48600.0,418.0,115.0,303.0,105.0,171.0,442.0,1278.0,2393.0,2.5,3312.0,53885981.0,31625.0,208.0,709.0,7286.0,2.7,3677.0,0.0,405.0,77244.0,56060.0,199419.0,42695.0,242374.0,290037.0,5757.0,6187.0,5757.0,24036.0,12.42,41.1,41.94,29.34,7.52,13.12,18.15,16.02,3752.0,282.0,14047.0,1843.0,436.0,2402.0,111.0,693.0,170.0,227.0,4.065,6.4,462.0,13674.0,1698.0,175.0,118.75,42.5,39.25,36.25,85.0,50.75,62.5,295.25,277.0,283.0,274.5,282.75,310.25,33.25,313.25,328.0,146.75,312.5,276.75,265.0,178.75,128.0,136.75,37011.0,13.9,1891.0,"2,159",46383.0,"2,491",13.3,1947.0,"1,535",5.7,411.0,"2,079"
Beaufort County,2020,18.0,24.0,120.0,51.0,164.0,3221.0,6.0,56.0,243.0,56.0,165.0,268.0,2422.0,37.0,485.0,385.0,52.0,668.0,428.0,63.0,0.0,0.0,62.0,63.0,624600329.0,15341.0,40714.0,32397.0,11480.0,3172.0,11.89,9508.0,9795.0,18159.0,58300.0,1796.0,1023.0,1179.0,874.0,471.0,1092.0,2899.0,8189.0,3.4,10200.0,160015099.0,26944.0,1114.0,3531.0,19386.0,4.2,10946.0,2054.0,2732.0,78871.0,61890.0,249271.0,48051.0,292941.0,352649.0,14641.0,16948.0,12587.0,28077.0,13.99,98.41,27.63,31.55,11.56,17.79,27.05,35.0,10977.0,1269.0,46448.0,8263.0,2448.0,9051.0,888.0,2537.0,692.0,758.0,5.205,6.4,1228.0,33229.0,4650.0,539.75,389.5,141.5,139.25,138.0,274.0,144.0,140.75,598.25,611.75,555.5,567.25,619.5,655.25,111.75,652.75,741.0,472.25,811.5,806.0,785.0,573.75,353.0,311.0,37013.0,12.3,4026.0,"1,893",51894.0,"2,048",18.7,8290.0,"2,505",6.7,1343.0,"2,491"
Bertie County,2020,2.0,9.0,6.0,20.0,35.0,359.0,3.0,26.0,52.0,9.0,71.0,142.0,648.0,20.0,220.0,87.0,39.0,302.0,178.0,15.0,0.0,1687.0,0.0,4.0,201033895.0,5515.0,36452.0,26755.0,11019.0,3836.0,13.91,3537.0,3310.0,7132.0,45000.0,1017.0,705.0,705.0,593.0,193.0,489.0,1300.0,2293.0,4.6,3905.0,48164383.0,0.0,141.0,306.0,7618.0,4.9,3822.0,0.0,1315.0,69344.0,48806.0,206855.0,35042.0,209363.0,214291.0,3018.0,5640.0,3018.0,22245.0,8.38,0.0,34.81,46.08,15.29,24.99,35.29,22.24,4185.0,640.0,17702.0,4424.0,1125.0,3188.0,189.0,850.0,368.0,404.0,7.32,6.4,486.0,6242.0,523.0,215.25,163.25,61.5,58.25,52.0,102.5,58.75,56.75,238.5,264.75,350.75,366.5,282.5,235.75,40.25,226.25,291.0,182.0,314.75,292.75,217.5,133.5,108.75,152.5,37015.0,19.8,2686.0,"2,832",37571.0,"2,993",24.0,4035.0,"2,920",7.2,506.0,"2,619"
Bladen County,2020,7.0,11.0,48.0,56.0,70.0,464.0,4.0,43.0,164.0,22.0,149.0,194.0,1634.0,32.0,409.0,157.0,62.0,492.0,344.0,18.0,48824.0,29599.0,162.0,865.0,526461680.0,13074.0,40268.0,23973.0,11354.0,4481.0,5.09,6162.0,6187.0,13439.0,48600.0,1750.0,1109.0,1284.0,849.0,392.0,1486.0,1961.0,4040.0,2.0,6453.0,133699663.0,36802.0,866.0,2489.0,14485.0,2.9,6815.0,0.0,1383.0,68973.0,47105.0,206393.0,37188.0,246609.0,289575.0,6909.0,11182.0,6909.0,24752.0,15.25,18.73,39.47,34.79,15.53,24.34,35.19,33.52,7140.0,1109.0,32794.0,7982.0,2319.0,6590.0,610.0,1820.0,291.0,364.0,3.625,7.3,1046.0,18988.0,2895.0,426.5,283.75,109.0,109.0,101.0,189.5,88.75,79.25,467.25,536.75,501.0,483.0,445.0,434.75,88.25,390.0,378.5,353.5,424.75,442.75,379.0,261.5,185.0,193.5,37017.0,15.0,3229.0,"2,319",39259.0,"2,939",24.6,7300.0,"2,938",6.0,730.0,"2,219"
Brunswick County,2020,59.0,74.0,99.0,165.0,267.0,4804.0,3.0,99.0,745.0,128.0,403.0,628.0,2265.0,76.0,1140.0,701.0,134.0,1784.0,1000.0,174.0,57767.0,25831.0,39.0,823.0,1400350706.0,32691.0,42836.0,47022.0,12681.0,2135.0,6.74,26109.0,27093.0,47641.0,71600.0,3038.0,812.0,1624.0,651.0,710.0,2104.0,8151.0,28743.0,2.8,27875.0,354847367.0,38409.0,1854.0,6645.0,52246.0,2.9,29673.0,1422.0,3594.0,88026.0,71988.0,266112.0,59763.0,335819.0,418165.0,32366.0,50350.0,30944.0,34528.0,9.99,4.74,16.84,27.9,5.24,11.1,16.49,21.73,42786.0,2240.0,136325.0,15137.0,3401.0,20628.0,1395.0,6421.0,1766.0,1647.0,4.345,8.9,4605.0,114450.0,11438.0,1254.5,995.25,347.5,349.5,341.5,653.75,315.0,290.0,1327.5,1558.0,1813.5,1938.5,1934.5,1916.25,279.25,1986.0,2329.5,1130.0,2860.75,3316.5,3260.25,2276.5,1128.25,780.25,37019.0,7.2,7671.0,660,64400.0,822,10.2,13576.0,804,5.5,3129.0,"1,983"
