area_name,year,Bachelor's Degree or Higher Am. Indian Alaska Native Age 25 Up,Black Age 25 Up w/Elementary School Education or Less,College Enrollment,College Graduates Age 25 Up,Community College Enrollment,Elementary School Education or Less Age 25 Up,Enrollment in Home Schools,High School Enrollment,High School Graduates (incl. Equivalency) Am. Indian Alaska Native Age 25 Up,High School Graduates Age 25 Up,High School Graduates Black Age 25 Up,High School Graduates White Age 25 Up,Kindergarten and Elementary School Enrollment,Less Than 5 Years of Elementary School Age 25 Up,Less Than High School Diploma Am. Indian Alaska Native Age 25 Up,Nonpublic School Enrollment,Nursery School Enrollment,Preprimary or Kindergarten School Enrollment,Private College Enrollment,Public College Enrollment,Public High School Dropouts,Public High School Final Enrollment,Public High School Graduates,Public School Expenditures (000s),Public School Expenditures - Federal (000s),Public School Expenditures - Local (000s),Public School Expenditures - State (000s),Public School Final Average Daily Attendance,Public School Final Average Daily Membership,Public School Final Enrollment,Public School First Month Average Daily Membership,Public School First Month Membership,Public School Instructional Personnel,SAT Redesign Average ERW Score,SAT Redesign Average Math Score,SAT Redesign Total Average Score,Some College or Associate's Degree Am. Indian Alaska Native Age 25 Up,White Age 25 Up w/Elementary School Education or Less
Alamance County,2020,97.0,2678.0,12583.0,28301.0,6166.0,5410.0,2170.0,8789.0,160.0,31196.0,7755.0,21319.0,18615.0,2405.0,102.0,3815.0,2199.0,4089.0,486.0,3109.0,140.0,7702.0,1759.0,216506.0,24110.0,46372.0,146024.0,23499.0,24584.0,25293.0,23391.0,23864.0,1643.0,521.0,520.0,1042.0,122.0,8168.0
Alexander County,2020,0.0,345.0,1424.0,3826.0,1291.0,1295.0,690.0,1840.0,20.0,10740.0,790.0,9474.0,3925.0,336.0,83.0,824.0,283.0,802.0,151.0,375.0,18.0,1454.0,344.0,46639.0,4927.0,7518.0,34194.0,4562.0,4720.0,4816.0,4479.0,4492.0,322.0,543.0,540.0,1083.0,64.0,3795.0
Alleghany County,2020,0.0,17.0,509.0,1768.0,455.0,523.0,118.0,485.0,22.0,2367.0,55.0,2286.0,991.0,155.0,4.0,149.0,89.0,180.0,21.0,108.0,6.0,414.0,100.0,16744.0,1704.0,3279.0,11761.0,1302.0,1358.0,1453.0,1276.0,1280.0,114.0,515.0,532.0,1046.0,0.0,1744.0
Anson County,2020,0.0,1778.0,1223.0,1952.0,1048.0,895.0,318.0,1061.0,5.0,6979.0,3547.0,3172.0,2694.0,151.0,39.0,328.0,426.0,688.0,79.0,258.0,11.0,975.0,224.0,35207.0,4460.0,5089.0,25659.0,2908.0,3109.0,3232.0,2935.0,2979.0,207.0,482.0,466.0,948.0,59.0,1436.0
Ashe County,2020,17.0,35.0,789.0,4124.0,1004.0,801.0,676.0,1062.0,9.0,6424.0,48.0,6271.0,2442.0,284.0,0.0,708.0,437.0,737.0,38.0,329.0,0.0,929.0,204.0,33133.0,3777.0,5744.0,23612.0,2791.0,2899.0,3011.0,2823.0,2828.0,216.0,564.0,534.0,1098.0,11.0,2720.0
Avery County,2020,8.0,172.0,1423.0,3171.0,676.0,677.0,339.0,680.0,35.0,4157.0,310.0,3750.0,1288.0,234.0,54.0,409.0,129.0,243.0,69.0,171.0,13.0,630.0,127.0,23598.0,2757.0,4234.0,16607.0,1938.0,2025.0,2107.0,1746.0,1912.0,171.0,543.0,524.0,1066.0,85.0,1671.0
Beaufort County,2020,0.0,1128.0,1528.0,7113.0,2115.0,1677.0,642.0,2503.0,0.0,10989.0,3365.0,7482.0,4564.0,790.0,60.0,1041.0,437.0,784.0,147.0,711.0,32.0,2087.0,522.0,67824.0,9261.0,15146.0,43416.0,6334.0,6618.0,6783.0,6309.0,6351.0,486.0,528.0,520.0,1048.0,3.0,2550.0
Bertie County,2020,0.0,2194.0,796.0,2074.0,846.0,885.0,156.0,834.0,12.0,5243.0,2921.0,2166.0,1744.0,328.0,47.0,540.0,173.0,505.0,60.0,242.0,14.0,635.0,163.0,25594.0,3442.0,3300.0,18852.0,1958.0,2044.0,2101.0,1931.0,1971.0,145.0,454.0,434.0,888.0,8.0,736.0
Bladen County,2020,17.0,1744.0,1194.0,4344.0,1470.0,1150.0,453.0,1964.0,315.0,7386.0,2401.0,4566.0,3235.0,458.0,54.0,526.0,247.0,304.0,43.0,497.0,16.0,1496.0,340.0,46751.0,8520.0,6398.0,31833.0,4556.0,4740.0,4937.0,4624.0,4655.0,314.0,509.0,484.0,994.0,166.0,1726.0
Brunswick County,2020,118.0,1306.0,4912.0,32133.0,3743.0,2377.0,1826.0,4936.0,176.0,31683.0,3519.0,26426.0,10443.0,635.0,11.0,2334.0,1252.0,2253.0,170.0,1458.0,92.0,4134.0,914.0,129368.0,13152.0,33660.0,82556.0,13164.0,13762.0,14256.0,13468.0,13630.0,884.0,541.0,535.0,1077.0,311.0,6399.0
