area_name,year,Active Dentists,Active Primary Care Physicians,Beds in General Hospitals,Deaths by Injury or Violence,Divorces,General Hospital Discharges,Infant Deaths,Low-Weight Births Under 2500 Grams,Marriages,Midlevel Practitioners,Nongeriatric Deaths,Nursing Facility Beds,Persons Served in Area Mental Health Programs,Pregnancies for Females 15-19,Pregnancies for Females of All Ages,Registered Nurses,Reported Abortions,Resident Deaths,Resident Live Births,"Total Active Physicians, Nonfederal, Non-resident-in-tr"
Alamance County,2020,70.0,96.0,182.0,185.0,539.0,12498.0,11.0,183.0,893.0,134.0,531.0,888.0,3685.0,133.0,2270.0,1114.0,422.0,2050.0,1831.0,281.0
Alexander County,2020,5.0,8.0,25.0,38.0,52.0,0.0,1.0,28.0,131.0,25.0,131.0,183.0,1373.0,23.0,377.0,130.0,28.0,502.0,346.0,13.0
Alleghany County,2020,2.0,7.0,41.0,15.0,40.0,154.0,0.0,8.0,73.0,9.0,36.0,90.0,561.0,7.0,106.0,41.0,7.0,158.0,96.0,19.0
Anson County,2020,3.0,7.0,15.0,31.0,66.0,406.0,5.0,43.0,96.0,11.0,110.0,161.0,1691.0,33.0,348.0,102.0,64.0,340.0,278.0,19.0
Ashe County,2020,8.0,15.0,76.0,23.0,78.0,1057.0,2.0,20.0,157.0,28.0,80.0,210.0,1288.0,29.0,242.0,156.0,9.0,400.0,233.0,29.0
Avery County,2020,9.0,9.0,30.0,18.0,43.0,696.0,0.0,8.0,100.0,23.0,57.0,128.0,814.0,11.0,153.0,113.0,17.0,246.0,136.0,25.0
Beaufort County,2020,18.0,24.0,120.0,51.0,164.0,3221.0,6.0,56.0,243.0,56.0,165.0,268.0,2422.0,37.0,485.0,385.0,52.0,668.0,428.0,63.0
Bertie County,2020,2.0,9.0,6.0,20.0,35.0,359.0,3.0,26.0,52.0,9.0,71.0,142.0,648.0,20.0,220.0,87.0,39.0,302.0,178.0,15.0
Bladen County,2020,7.0,11.0,48.0,56.0,70.0,464.0,4.0,43.0,164.0,22.0,149.0,194.0,1634.0,32.0,409.0,157.0,62.0,492.0,344.0,18.0
Brunswick County,2020,59.0,74.0,99.0,165.0,267.0,4804.0,3.0,99.0,745.0,128.0,403.0,628.0,2265.0,76.0,1140.0,701.0,134.0,1784.0,1000.0,174.0
Buncombe County,2020,199.0,379.0,733.0,298.0,874.0,46511.0,16.0,222.0,2.0,665.0,736.0,1950.0,8353.0,129.0,2788.0,4716.0,449.0,3040.0,2327.0,1282.0
Burke County,2020,31.0,58.0,293.0,104.0,244.0,6469.0,5.0,51.0,455.0,99.0,330.0,556.0,5070.0,55.0,870.0,998.0,69.0,1238.0,798.0,197.0
Cabarrus County,2020,104.0,191.0,447.0,195.0,594.0,24966.0,10.0,210.0,1.0,304.0,511.0,691.0,3934.0,147.0,3003.0,2070.0,447.0,1881.0,2541.0,543.0
Caldwell County,2020,16.0,42.0,110.0,78.0,243.0,3772.0,6.0,72.0,450.0,75.0,300.0,400.0,3593.0,64.0,810.0,532.0,75.0,1166.0,733.0,91.0
Camden County,2020,0.0,2.0,0.0,9.0,21.0,0.0,0.0,8.0,51.0,4.0,29.0,0.0,227.0,6.0,103.0,13.0,6.0,114.0,97.0,2.0
Carteret County,2020,35.0,49.0,135.0,81.0,150.0,5866.0,4.0,43.0,731.0,101.0,223.0,424.0,1652.0,31.0,555.0,607.0,77.0,883.0,475.0,135.0
Caswell County,2020,1.0,9.0,0.0,26.0,39.0,0.0,0.0,24.0,63.0,13.0,88.0,157.0,449.0,12.0,196.0,48.0,21.0,336.0,175.0,10.0
Catawba County,2020,89.0,127.0,409.0,156.0,469.0,21529.0,7.0,125.0,759.0,242.0,542.0,759.0,8482.0,93.0,1816.0,2023.0,209.0,2034.0,1593.0,408.0
Chatham County,2020,17.0,33.0,25.0,74.0,141.0,681.0,8.0,55.0,354.0,73.0,173.0,420.0,1339.0,23.0,723.0,251.0,75.0,853.0,645.0,70.0
Cherokee County,2020,8.0,14.0,57.0,40.0,98.0,1281.0,2.0,22.0,207.0,30.0,86.0,210.0,1347.0,17.0,258.0,166.0,15.0,430.0,243.0,51.0
Chowan County,2020,6.0,14.0,49.0,13.0,45.0,1810.0,0.0,14.0,87.0,14.0,47.0,130.0,469.0,20.0,154.0,139.0,15.0,220.0,139.0,28.0
Clay County,2020,4.0,3.0,0.0,14.0,25.0,0.0,0.0,8.0,57.0,12.0,30.0,90.0,401.0,7.0,100.0,56.0,4.0,140.0,96.0,9.0
Cleveland County,2020,35.0,64.0,288.0,110.0,266.0,12444.0,5.0,119.0,537.0,126.0,423.0,544.0,5544.0,95.0,1250.0,995.0,164.0,1487.0,1079.0,175.0
Columbus County,2020,7.0,26.0,154.0,93.0,126.0,0.0,5.0,63.0,240.0,48.0,283.0,323.0,2580.0,65.0,646.0,394.0,71.0,887.0,572.0,65.0
Craven County,2020,58.0,81.0,307.0,126.0,284.0,13512.0,9.0,115.0,727.0,118.0,352.0,461.0,4779.0,83.0,1503.0,1090.0,186.0,1362.0,1312.0,275.0
