area_name,year,FIPS,Pct HS Educated,People (<High School),National Rank (HS Education)
Alamance County,2020,37001.0,12.3,13953.0,"1,891"
Alexander County,2020,37003.0,15.0,3921.0,"2,314"
Alleghany County,2020,37005.0,20.5,1722.0,"2,886"
Anson County,2020,37007.0,17.5,2804.0,"2,598"
Ashe County,2020,37009.0,13.0,2638.0,"1,996"
Avery County,2020,37011.0,13.9,1891.0,"2,159"
Beaufort County,2020,37013.0,12.3,4026.0,"1,893"
Bertie County,2020,37015.0,19.8,2686.0,"2,832"
Bladen County,2020,37017.0,15.0,3229.0,"2,319"
Brunswick County,2020,37019.0,7.2,7671.0,660
Buncombe County,2020,37021.0,8.1,16059.0,902
Burke County,2020,37023.0,16.7,10710.0,"2,527"
Cabarrus County,2020,37025.0,9.3,13680.0,"1,207"
Caldwell County,2020,37027.0,18.5,10763.0,"2,697"
Camden County,2020,37029.0,10.1,724.0,"1,385"
Carteret County,2020,37031.0,7.9,4094.0,854
Caswell County,2020,37033.0,17.5,2922.0,"2,600"
Catawba County,2020,37035.0,13.5,15006.0,"2,085"
Chatham County,2020,37037.0,10.5,5818.0,"1,504"
Cherokee County,2020,37039.0,10.2,2240.0,"1,410"
Chowan County,2020,37041.0,15.5,1622.0,"2,382"
Clay County,2020,37043.0,11.2,939.0,"1,658"
Cleveland County,2020,37045.0,13.7,9305.0,"2,115"
Columbus County,2020,37047.0,16.0,5801.0,"2,441"
Craven County,2020,37049.0,10.3,6940.0,"1,441"
Cumberland County,2020,37051.0,8.0,16602.0,877
Currituck County,2020,37053.0,7.7,1530.0,807
Dare County,2020,37055.0,4.7,1296.0,147
Davidson County,2020,37057.0,14.2,16811.0,"2,215"
Davie County,2020,37059.0,9.8,2972.0,"1,329"
Duplin County,2020,37061.0,20.3,6863.0,"2,870"
Durham County,2020,37063.0,10.1,22320.0,"1,390"
Edgecombe County,2020,37065.0,15.4,5320.0,"2,372"
Forsyth County,2020,37067.0,10.7,27441.0,"1,560"
Franklin County,2020,37069.0,13.5,6366.0,"2,083"
Gaston County,2020,37071.0,13.3,20864.0,"2,044"
Gates County,2020,37073.0,10.6,822.0,"1,537"
Graham County,2020,37075.0,17.5,1015.0,"2,588"
Granville County,2020,37077.0,13.9,6019.0,"2,168"
Greene County,2020,37079.0,22.4,3259.0,"2,964"
Guilford County,2020,37081.0,9.8,35186.0,"1,332"
Halifax County,2020,37083.0,20.1,7062.0,"2,852"
Harnett County,2020,37085.0,11.6,10048.0,"1,732"
Haywood County,2020,37087.0,10.3,4767.0,"1,434"
Henderson County,2020,37089.0,8.4,7221.0,963
Hertford County,2020,37091.0,16.2,2506.0,"2,470"
Hoke County,2020,37093.0,12.3,4130.0,"1,886"
Hyde County,2020,37095.0,21.3,770.0,"2,921"
Iredell County,2020,37097.0,8.9,11346.0,"1,113"
Jackson County,2020,37099.0,10.8,3001.0,"1,588"
Johnston County,2020,37101.0,11.3,15900.0,"1,685"
Jones County,2020,37103.0,16.6,1149.0,"2,512"
Lee County,2020,37105.0,14.4,6115.0,"2,237"
