area_name,year,FIPS,Percent Below Poverty,People (Below Poverty),National Rank (Poverty)
Alamance County,2020,37001.0,14.4,23671.0,"1,777"
Alexander County,2020,37003.0,11.5,4056.0,"1,106"
Alleghany County,2020,37005.0,21.5,2321.0,"2,761"
Anson County,2020,37007.0,18.3,3822.0,"2,461"
Ashe County,2020,37009.0,14.0,3675.0,"1,691"
Avery County,2020,37011.0,13.3,1947.0,"1,535"
Beaufort County,2020,37013.0,18.7,8290.0,"2,505"
Bertie County,2020,37015.0,24.0,4035.0,"2,920"
Bladen County,2020,37017.0,24.6,7300.0,"2,938"
Brunswick County,2020,37019.0,10.2,13576.0,804
Buncombe County,2020,37021.0,10.9,28397.0,966
Burke County,2020,37023.0,18.1,15490.0,"2,435"
Cabarrus County,2020,37025.0,9.4,20594.0,615
Caldwell County,2020,37027.0,13.4,10658.0,"1,558"
Camden County,2020,37029.0,6.2,646.0,152
Carteret County,2020,37031.0,9.7,6493.0,697
Caswell County,2020,37033.0,17.1,3698.0,"2,279"
Catawba County,2020,37035.0,12.8,20118.0,"1,424"
Chatham County,2020,37037.0,10.5,7810.0,871
Cherokee County,2020,37039.0,16.9,4757.0,"2,249"
Chowan County,2020,37041.0,22.0,2975.0,"2,797"
Clay County,2020,37043.0,14.2,1549.0,"1,737"
Cleveland County,2020,37045.0,18.3,17794.0,"2,467"
Columbus County,2020,37047.0,21.0,10245.0,"2,721"
Craven County,2020,37049.0,14.2,13598.0,"1,732"
Cumberland County,2020,37051.0,18.0,57149.0,"2,418"
Currituck County,2020,37053.0,8.3,2274.0,430
Dare County,2020,37055.0,6.8,2483.0,209
Davidson County,2020,37057.0,14.5,24111.0,"1,804"
Davie County,2020,37059.0,12.6,5317.0,"1,369"
Duplin County,2020,37061.0,18.2,8958.0,"2,440"
Durham County,2020,37063.0,13.2,40371.0,"1,507"
Edgecombe County,2020,37065.0,22.8,11164.0,"2,853"
Forsyth County,2020,37067.0,15.6,57871.0,"2,032"
Franklin County,2020,37069.0,11.3,7480.0,"1,051"
Gaston County,2020,37071.0,13.1,29172.0,"1,492"
Gates County,2020,37073.0,13.9,1457.0,"1,681"
Graham County,2020,37075.0,13.4,1067.0,"1,553"
Granville County,2020,37077.0,14.4,8327.0,"1,781"
Greene County,2020,37079.0,21.4,3884.0,"2,754"
Guilford County,2020,37081.0,14.5,75142.0,"1,809"
Halifax County,2020,37083.0,26.2,12615.0,"3,010"
Harnett County,2020,37085.0,14.9,19394.0,"1,892"
Haywood County,2020,37087.0,12.4,7541.0,"1,315"
Henderson County,2020,37089.0,10.4,11856.0,849
Hertford County,2020,37091.0,20.8,4114.0,"2,700"
Hoke County,2020,37093.0,17.9,9060.0,"2,398"
Hyde County,2020,37095.0,24.2,1023.0,"2,924"
Iredell County,2020,37097.0,9.8,17801.0,708
Jackson County,2020,37099.0,19.2,7551.0,"2,570"
Johnston County,2020,37101.0,12.5,26252.0,"1,364"
Jones County,2020,37103.0,20.8,1929.0,"2,708"
Lee County,2020,37105.0,15.1,9290.0,"1,935"
Lenoir County,2020,37107.0,23.3,12650.0,"2,884"
Lincoln County,2020,37109.0,10.7,9082.0,919
Macon County,2020,37113.0,16.3,5925.0,"2,153"
Madison County,2020,37115.0,13.8,2811.0,"1,661"
Martin County,2020,37117.0,19.8,4326.0,"2,620"
McDowell County,2020,37111.0,13.8,6011.0,"1,664"
Mecklenburg County,2020,37119.0,10.6,114598.0,888
Mitchell County,2020,37121.0,13.0,1889.0,"1,450"
Montgomery County,2020,37123.0,15.6,3877.0,"2,022"
Moore County,2020,37125.0,9.7,9398.0,681
Nash County,2020,37127.0,14.7,13630.0,"1,841"
New Hanover County,2020,37129.0,13.6,29750.0,"1,619"
Northampton County,2020,37131.0,20.8,3575.0,"2,702"
Onslow County,2020,37133.0,13.3,23993.0,"1,541"
Orange County,2020,37135.0,12.6,17024.0,"1,367"
Pamlico County,2020,37137.0,14.3,1653.0,"1,756"
Pasquotank County,2020,37139.0,13.1,4926.0,"1,484"
Pender County,2020,37141.0,12.5,7354.0,"1,351"
Perquimans County,2020,37143.0,13.1,1688.0,"1,481"
Person County,2020,37145.0,18.3,7078.0,"2,464"
Pitt County,2020,37147.0,20.7,33838.0,"2,693"
Polk County,2020,37149.0,9.5,1824.0,642
Randolph County,2020,37151.0,15.1,21467.0,"1,924"
Richmond County,2020,37153.0,25.0,10484.0,"2,953"
Robeson County,2020,37155.0,27.3,31458.0,"3,033"
Rockingham County,2020,37157.0,18.2,16265.0,"2,451"
Rowan County,2020,37159.0,16.8,23768.0,"2,224"
Rutherford County,2020,37161.0,18.2,11572.0,"2,453"
Sampson County,2020,37163.0,21.4,12543.0,"2,755"
Scotland County,2020,37165.0,26.1,8429.0,"3,000"
Stanly County,2020,37167.0,13.3,8037.0,"1,546"
Stokes County,2020,37169.0,14.8,6486.0,"1,857"
Surry County,2020,37171.0,16.6,11691.0,"2,196"
Swain County,2020,37173.0,18.7,2614.0,"2,504"
Transylvania County,2020,37175.0,13.1,4187.0,"1,482"
Tyrrell County,2020,37177.0,16.7,449.0,"2,215"
Union County,2020,37179.0,7.2,16712.0,258
Vance County,2020,37181.0,19.4,8208.0,"2,592"
Wake County,2020,37183.0,8.5,93182.0,455
Warren County,2020,37185.0,19.4,3511.0,"2,580"
Washington County,2020,37187.0,24.2,2675.0,"2,927"
Watauga County,2020,37189.0,23.2,11203.0,"2,877"
Wayne County,2020,37191.0,18.6,21389.0,"2,496"
Wilkes County,2020,37193.0,17.3,11293.0,"2,318"
Wilson County,2020,37195.0,18.9,14610.0,"2,530"
Yadkin County,2020,37197.0,15.4,5685.0,"1,998"
Yancey County,2020,37199.0,14.7,2686.0,"1,846"
