area_name,year,FIPS,Percent Unemployed,People (Unemployed),National Rank (Unemployment)
Alamance County,2020,37001.0,5.1,4253.0,"1,696"
Alexander County,2020,37003.0,4.8,828.0,"1,527"
Alleghany County,2020,37005.0,4.6,207.0,"1,351"
Anson County,2020,37007.0,7.3,717.0,"2,650"
Ashe County,2020,37009.0,5.1,660.0,"1,721"
Avery County,2020,37011.0,5.7,411.0,"2,079"
Beaufort County,2020,37013.0,6.7,1343.0,"2,491"
Bertie County,2020,37015.0,7.2,506.0,"2,619"
Bladen County,2020,37017.0,6.0,730.0,"2,219"
Brunswick County,2020,37019.0,5.5,3129.0,"1,983"
Buncombe County,2020,37021.0,3.4,4665.0,689
Burke County,2020,37023.0,6.1,2537.0,"2,255"
Cabarrus County,2020,37025.0,5.1,5912.0,"1,682"
Caldwell County,2020,37027.0,5.8,2192.0,"2,102"
Camden County,2020,37029.0,5.7,291.0,"2,095"
Carteret County,2020,37031.0,5.1,1624.0,"1,699"
Caswell County,2020,37033.0,5.8,580.0,"2,110"
Catawba County,2020,37035.0,5.8,4647.0,"2,134"
Chatham County,2020,37037.0,3.4,1231.0,681
Cherokee County,2020,37039.0,4.6,542.0,"1,410"
Chowan County,2020,37041.0,5.7,336.0,"2,056"
Clay County,2020,37043.0,3.2,151.0,567
Cleveland County,2020,37045.0,7.1,3274.0,"2,616"
Columbus County,2020,37047.0,5.3,1061.0,"1,819"
Craven County,2020,37049.0,5.7,2405.0,"2,068"
Cumberland County,2020,37051.0,8.0,10964.0,"2,794"
Currituck County,2020,37053.0,2.5,358.0,325
Dare County,2020,37055.0,6.1,1212.0,"2,234"
Davidson County,2020,37057.0,5.4,4250.0,"1,863"
Davie County,2020,37059.0,4.9,1002.0,"1,579"
Duplin County,2020,37061.0,7.2,1691.0,"2,637"
Durham County,2020,37063.0,4.7,8170.0,"1,466"
Edgecombe County,2020,37065.0,9.3,2057.0,"2,949"
Forsyth County,2020,37067.0,5.3,9839.0,"1,812"
Franklin County,2020,37069.0,6.5,2166.0,"2,403"
Gaston County,2020,37071.0,5.3,6067.0,"1,857"
Gates County,2020,37073.0,9.7,485.0,"2,991"
Graham County,2020,37075.0,5.9,205.0,"2,185"
Granville County,2020,37077.0,5.2,1500.0,"1,766"
Greene County,2020,37079.0,6.9,600.0,"2,533"
Guilford County,2020,37081.0,5.5,15364.0,"1,981"
Halifax County,2020,37083.0,8.5,1680.0,"2,860"
Harnett County,2020,37085.0,6.1,3514.0,"2,273"
Haywood County,2020,37087.0,3.5,1011.0,732
Henderson County,2020,37089.0,3.8,2129.0,883
Hertford County,2020,37091.0,8.5,781.0,"2,864"
Hoke County,2020,37093.0,7.5,1536.0,"2,699"
Hyde County,2020,37095.0,6.8,118.0,"2,513"
Iredell County,2020,37097.0,4.8,4597.0,"1,536"
Jackson County,2020,37099.0,6.8,1368.0,"2,499"
Johnston County,2020,37101.0,4.3,4550.0,"1,159"
Jones County,2020,37103.0,6.4,259.0,"2,371"
Lee County,2020,37105.0,5.2,1558.0,"1,772"
Lenoir County,2020,37107.0,9.3,2320.0,"2,951"
Lincoln County,2020,37109.0,4.5,1948.0,"1,305"
Macon County,2020,37113.0,4.2,669.0,"1,125"
Madison County,2020,37115.0,2.7,264.0,385
Martin County,2020,37117.0,10.4,1070.0,"3,026"
McDowell County,2020,37111.0,6.3,1284.0,"2,337"
Mecklenburg County,2020,37119.0,4.6,28741.0,"1,402"
Mitchell County,2020,37121.0,6.4,437.0,"2,370"
Montgomery County,2020,37123.0,3.4,365.0,648
Moore County,2020,37125.0,4.3,1845.0,"1,204"
Nash County,2020,37127.0,7.0,3236.0,"2,587"
New Hanover County,2020,37129.0,5.0,5953.0,"1,629"
Northampton County,2020,37131.0,7.6,557.0,"2,729"
Onslow County,2020,37133.0,6.9,4913.0,"2,539"
Orange County,2020,37135.0,4.4,3339.0,"1,242"
Pamlico County,2020,37137.0,5.6,265.0,"2,017"
Pasquotank County,2020,37139.0,5.2,965.0,"1,760"
Pender County,2020,37141.0,7.2,2047.0,"2,620"
Perquimans County,2020,37143.0,5.2,285.0,"1,745"
Person County,2020,37145.0,5.2,1029.0,"1,809"
Pitt County,2020,37147.0,7.4,6430.0,"2,683"
Polk County,2020,37149.0,3.8,338.0,873
Randolph County,2020,37151.0,4.6,3201.0,"1,405"
Richmond County,2020,37153.0,8.9,1737.0,"2,912"
Robeson County,2020,37155.0,6.7,3133.0,"2,469"
Rockingham County,2020,37157.0,6.7,2832.0,"2,467"
Rowan County,2020,37159.0,7.1,4970.0,"2,590"
Rutherford County,2020,37161.0,6.1,1694.0,"2,246"
Sampson County,2020,37163.0,6.7,1797.0,"2,477"
Scotland County,2020,37165.0,11.3,1604.0,"3,056"
Stanly County,2020,37167.0,4.7,1394.0,"1,441"
Stokes County,2020,37169.0,5.4,1137.0,"1,864"
Surry County,2020,37171.0,4.5,1520.0,"1,327"
Swain County,2020,37173.0,7.7,473.0,"2,755"
Transylvania County,2020,37175.0,4.9,742.0,"1,606"
