area_name,year,Black Population,Population (Census/Estimate/Projection),Population Density (Persons per Square Mile)
Alamance County,2020,34014.0,171415.0,394.75
Alexander County,2020,1932.0,36444.0,138.24
Alleghany County,2020,104.0,10888.0,46.08
Anson County,2020,9871.0,22055.0,41.06
Ashe County,2020,127.0,26577.0,61.9
Avery County,2020,664.0,17806.0,71.94
Beaufort County,2020,10303.0,44652.0,46.37
Bertie County,2020,10720.0,17934.0,24.19
Bladen County,2020,9576.0,29606.0,33.35
Brunswick County,2020,11546.0,136693.0,130.24
Buncombe County,2020,15311.0,269452.0,408.29
Burke County,2020,4854.0,87570.0,170.29
Cabarrus County,2020,42622.0,225804.0,620.46
Caldwell County,2020,3914.0,80652.0,169.93
Camden County,2020,1055.0,10355.0,33.38
Carteret County,2020,3274.0,67686.0,50.88
Caswell County,2020,6824.0,22736.0,53.03
Catawba County,2020,12835.0,160610.0,386.06
Chatham County,2020,7914.0,76285.0,107.61
Cherokee County,2020,381.0,28774.0,61.66
Chowan County,2020,4408.0,13708.0,58.67
Clay County,2020,65.0,11089.0,50.23
Cleveland County,2020,20159.0,99519.0,212.57
Columbus County,2020,14586.0,50623.0,53.01
Craven County,2020,20204.0,100720.0,130.25
Cumberland County,2020,127610.0,334728.0,508.33
Currituck County,2020,1392.0,28100.0,53.38
Dare County,2020,703.0,36915.0,23.94
Davidson County,2020,16065.0,168930.0,297.57
Davie County,2020,2428.0,42712.0,160.21
Duplin County,2020,11604.0,48715.0,59.39
Durham County,2020,110610.0,324833.0,1090.56
Edgecombe County,2020,27429.0,48900.0,96.47
Forsyth County,2020,95324.0,382590.0,927.83
Franklin County,2020,15990.0,68573.0,138.65
Gaston County,2020,40323.0,227943.0,626.77
Gates County,2020,3023.0,10478.0,30.31
Graham County,2020,50.0,8030.0,26.62
Granville County,2020,18435.0,60992.0,113.45
Greene County,2020,7250.0,20451.0,76.54
Guilford County,2020,181848.0,541299.0,823.09
Halifax County,2020,24846.0,48622.0,66.58
Harnett County,2020,27417.0,133568.0,222.16
Haywood County,2020,663.0,62089.0,111.97
Henderson County,2020,3388.0,116281.0,310.01
Hertford County,2020,12393.0,21552.0,59.8
Hoke County,2020,16766.0,52082.0,132.97
Hyde County,2020,1169.0,4589.0,3.15
Iredell County,2020,21678.0,186693.0,312.51
Jackson County,2020,856.0,43109.0,87.11
Johnston County,2020,33730.0,215999.0,271.48
Jones County,2020,2579.0,9172.0,19.36
Lee County,2020,10885.0,63285.0,244.16
Lenoir County,2020,22195.0,55122.0,137.34
Lincoln County,2020,4482.0,86810.0,284.75
Macon County,2020,257.0,37014.0,71.23
Madison County,2020,215.0,21193.0,46.94
Martin County,2020,8922.0,22031.0,48.24
McDowell County,2020,1732.0,44578.0,100.1
Mecklenburg County,2020,330458.0,1115482.0,2042.71
Mitchell County,2020,53.0,14903.0,67.17
Montgomery County,2020,4226.0,25751.0,51.34
Moore County,2020,10671.0,99727.0,141.32
Nash County,2020,36958.0,94970.0,174.95
New Hanover County,2020,27386.0,225702.0,686.32
Northampton County,2020,9689.0,17471.0,31.73
Onslow County,2020,28026.0,204576.0,226.0
Orange County,2020,15848.0,148696.0,370.85
Pamlico County,2020,2061.0,12276.0,21.86
Pasquotank County,2020,14478.0,40568.0,140.21
Pender County,2020,7619.0,60203.0,64.45
Perquimans County,2020,2715.0,13005.0,39.54
Person County,2020,9937.0,39097.0,96.68
Pitt County,2020,60414.0,170243.0,259.69
Polk County,2020,698.0,19328.0,81.06
Randolph County,2020,8748.0,144171.0,182.5
Richmond County,2020,12881.0,42946.0,89.53
Robeson County,2020,26424.0,116530.0,122.76
Rockingham County,2020,16789.0,91096.0,159.05
Rowan County,2020,23012.0,146875.0,280.32
Rutherford County,2020,5903.0,64444.0,113.61
Sampson County,2020,14130.0,59036.0,62.29
Scotland County,2020,13162.0,34174.0,106.59
Stanly County,2020,7079.0,62504.0,154.41
Stokes County,2020,1644.0,44520.0,97.6
Surry County,2020,2486.0,71359.0,132.97
Swain County,2020,108.0,14117.0,26.13
Transylvania County,2020,1037.0,32986.0,86.73
Tyrrell County,2020,938.0,3245.0,5.43
Union County,2020,26981.0,238267.0,372.5
Vance County,2020,21237.0,42578.0,158.47
Wake County,2020,208493.0,1129410.0,1317.85
Warren County,2020,9114.0,18642.0,41.96
Washington County,2020,5375.0,11003.0,26.08
Watauga County,2020,2149.0,54086.0,172.62
Wayne County,2020,35795.0,117333.0,210.38
Wilkes County,2020,2634.0,65969.0,87.22
Wilson County,2020,30097.0,78784.0,211.15
Yadkin County,2020,1136.0,37214.0,110.2
Yancey County,2020,108.0,18470.0,58.98
