County,Hospital City,Hospital Name,Hospital Zipcode,lon,lat,Hospital Address,Hospital Geoapify Category,Hospital Place ID,Source Hospital Name,Hospital Phone,Hospital Website
Alamance County,Burlington,Alamance Regional Medical Center,27215,-79.50137695116723,36.061831999999995,"Alamance Regional Medical Center, 1240 Huffman Mill Road, Burlington, NC 27215, United States of America","['healthcare', 'healthcare.hospital']",5100e83ca416e053c0598cfa4f96d4074240f00102f901a20f7e3a00000000920320416c616d616e636520526567696f6e616c204d65646963616c2043656e746572,Alamance Regional Medical Center,+1 336 538 7000,http://www.armc.com/armc-main/
Alleghany County,Sparta,No Name Given - Possible branch of main Hospital,28675,-81.11473723112195,36.5095217,"Cherry Street, Sparta, NC 28675, United States of America",['healthcare.hospital'],51109a0144594754c0598a0be0ff38414240f00102f901affeb41b00000000,,,
Anson County,Wadesboro,Anson Community Hospital,28170,-80.11005801764225,34.97751385,"Anson Community Hospital, 2301 W. Cliff Martin Highway, Wadesboro, NC 28170, United States of America","['healthcare', 'healthcare.hospital']",51ff4b67ec0a0754c05987d13e78227d4140f00102f9017afcc91b00000000920318416e736f6e20436f6d6d756e69747920486f73706974616c,Anson Community Hospital,+1 704 994 4500,http://www.carolinashealthcare.org/locations/carolinas-healthcare-system-anson
Ashe County,Jefferson,Ashe Memorial Hospital,28640,-81.45782192490572,36.423468799999995,"Ashe Memorial Hospital, 200 Hospital Avenue, Jefferson, NC 28640, United States of America","['healthcare', 'healthcare.hospital']",519b6b8e0a4b5d54c05936c8cd4c2f364240f00102f901570c4b230000000092031641736865204d656d6f7269616c20486f73706974616c,Ashe Memorial Hospital,+1 336 846 7101,http://www.ashememorial.org/
Avery County,,No Name Given - Possible branch of main Hospital,28653,-81.88913735117836,36.06062875000001,"Hospital Drive, Avery County, NC 28653, United States of America","['healthcare', 'healthcare.hospital']",511d6ab73fe17854c05956d9eb67ca074240f00102f9011bcc2d2700000000,,,
Beaufort County,Washington,Vidant Beaufort Hospital,27889,-77.03809766032161,35.54923895,"Vidant Beaufort Hospital, 628 East 12th Street, Washington, NC 27889, United States of America","['building', 'building.healthcare', 'healthcare', 'healthcare.hospital']",51098608c66c4253c05907f29cbe4bc64140f00102f9015068d51b00000000920318566964616e742042656175666f727420486f73706974616c,Vidant Beaufort Hospital,+1 252 975 4100,https://www.vidanthealth.com/vidant/dynamic-detail.aspx?id=11780
Bertie County,Windsor,Vidant Bertie Hospital,27983,-76.9289431348214,35.9885957,"Vidant Bertie Hospital, 1403 South King Street, Windsor, NC 27983, United States of America",['healthcare.hospital'],51b4ddbd69733b53c05957f1c8d188fe4140f00102f9011ce6d51b00000000920316566964616e742042657274696520486f73706974616c,Vidant Bertie Hospital,+1 252 794 6600,https://www.vidanthealth.com/bertie/
Bladen County,Elizabethtown,Bladen County Hospital,28337,-78.60790529003071,34.62247135,"Bladen County Hospital, 501 South Poplar Street, Elizabethtown, NC 28337, United States of America","['healthcare', 'healthcare.hospital']",512c6d8ea9e9a653c0599f4370f6af4f4140f00102f901b89ece1b00000000920316426c6164656e20436f756e747920486f73706974616c,Bladen County Hospital,+1 910 862 5100,http://www.capefearvalley.com/bladen/home.html
Bladen County,White Lake,Bladen Medical Associates,28337,-78.4918149,34.6531037,"Bladen Medical Associates, 273 White Lake Drive, White Lake, NC 28337, United States of America","['healthcare', 'healthcare.clinic_or_praxis', 'healthcare.hospital']",51dfcb33e5799f53c0598a67ebe698534140f00103f90179f2a18901000000920319426c6164656e204d65646963616c204173736f636961746573,Bladen Medical Associates,,
Brunswick County,Southport,Dosher Memorial Hospital,28461,-78.02137631942955,33.92933025,"Dosher Memorial Hospital, 924 North Howe Street, Southport, NC 28461, United States of America","['healthcare', 'healthcare.hospital']",519db64e045e8153c059ce921647f8f64040f00102f9015a79cd1b00000000920318446f73686572204d656d6f7269616c20486f73706974616c,Dosher Memorial Hospital,+1 910 457 3800,http://www.dosher.org/
