Education (Less than High School) for North Carolina by County
Population Ages 25+
"All Races (includes Hispanic/Latino), Both Sexes, 2017-2021"
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US (of 3142 counties)
"United States",00000,11.1,25050356,"N/A"
"North Carolina",37000,11.0,776686,"35 of 51"
"Tyrrell County",37177,23.8,627,"3,016"
"Greene County",37079,22.4,3259,"2,964"
"Robeson County",37155,22.1,16966,"2,949"
"Hyde County",37095,21.3,770,"2,921"
"Alleghany County",37005,20.5,1722,"2,886"
"Duplin County",37061,20.3,6863,"2,870"
"Halifax County",37083,20.1,7062,"2,852"
"Bertie County",37015,19.8,2686,"2,832"
"Northampton County",37131,19.1,2592,"2,764"
"Lenoir County",37107,19.0,7303,"2,756"
"Surry County",37171,19.0,9604,"2,755"
"Wilkes County",37193,18.8,9024,"2,734"
"Scotland County",37165,18.7,4324,"2,711"
"Caldwell County",37027,18.5,10763,"2,697"
"Sampson County",37163,18.2,7250,"2,662"
"Wilson County",37195,17.8,9600,"2,626"
"Montgomery County",37123,17.7,3200,"2,615"
"Caswell County",37033,17.5,2922,"2,600"
"Anson County",37007,17.5,2804,"2,598"
"Martin County",37117,17.5,2814,"2,592"
"Graham County",37075,17.5,1015,"2,588"
"Richmond County",37153,17.3,5097,"2,581"
"Burke County",37023,16.7,10710,"2,527"
"Jones County",37103,16.6,1149,"2,512"
"Washington County",37187,16.5,1311,"2,494"
"Hertford County",37091,16.2,2506,"2,470"
"Rockingham County",37157,16.2,10667,"2,468"
"Randolph County",37151,16.1,16065,"2,453"
"Columbus County",37047,16.0,5801,"2,441"
"Vance County",37181,15.6,4495,"2,396"
"Chowan County",37041,15.5,1622,"2,382"
"Edgecombe County",37065,15.4,5320,"2,372"
"Bladen County",37017,15.0,3229,"2,319"
"Alexander County",37003,15.0,3921,"2,314"
"Swain County",37173,14.9,1444,"2,309"
"McDowell County",37111,14.6,4756,"2,263"
"Rutherford County",37161,14.5,6752,"2,251"
"Lee County",37105,14.4,6115,"2,237"
"Yadkin County",37197,14.4,3813,"2,236"
"Warren County",37185,14.3,1990,"2,224"
"Davidson County",37057,14.2,16811,"2,215"
"Wayne County",37191,14.2,11071,"2,207"
"Stanly County",37167,13.9,6086,"2,171"
"Granville County",37077,13.9,6019,"2,168"
"Avery County",37011,13.9,1891,"2,159"
"Perquimans County",37143,13.7,1342,"2,129"
"Stokes County",37169,13.7,4490,"2,124"
"Cleveland County",37045,13.7,9305,"2,115"
"Catawba County",37035,13.5,15006,"2,085"
"Franklin County",37069,13.5,6366,"2,083"
"Gaston County",37071,13.3,20864,"2,044"
"Rowan County",37159,13.1,13220,"2,021"
"Ashe County",37009,13.0,2638,"1,996"
"Nash County",37127,12.6,8265,"1,944"
"Beaufort County",37013,12.3,4026,"1,893"
"Alamance County",37001,12.3,13953,"1,891"
"Hoke County",37093,12.3,4130,"1,886"
"Person County",37145,12.2,3402,"1,871"
"Yancey County",37199,12.0,1654,"1,837"
"Mitchell County",37121,11.7,1301,"1,765"
"Harnett County",37085,11.6,10048,"1,732"
"Johnston County",37101,11.3,15900,"1,685"
"Macon County",37113,11.2,3066,"1,659"
"Clay County",37043,11.2,939,"1,658"
"Lincoln County",37109,11.1,6855,"1,645"
"Jackson County",37099,10.8,3001,"1,588"
"Pasquotank County",37139,10.8,2968,"1,571"
"Forsyth County",37067,10.7,27441,"1,560"
"Gates County",37073,10.6,822,"1,537"
"Pender County",37141,10.6,4495,"1,533"
"Chatham County",37037,10.5,5818,"1,504"
"Madison County",37115,10.4,1605,"1,480"
"Pamlico County",37137,10.4,1013,"1,475"
"Craven County",37049,10.3,6940,"1,441"
"Haywood County",37087,10.3,4767,"1,434"
"Cherokee County",37039,10.2,2240,"1,410"
"Pitt County",37147,10.1,10539,"1,395"
"Durham County",37063,10.1,22320,"1,390"
"Camden County",37029,10.1,724,"1,385"
"Union County",37179,9.9,14938,"1,345"
"Guilford County",37081,9.8,35186,"1,332"
"Davie County",37059,9.8,2972,"1,329"
"Cabarrus County",37025,9.3,13680,"1,207"
"Mecklenburg County",37119,9.2,68244,"1,172"
"Iredell County",37097,8.9,11346,"1,113"
"Henderson County",37089,8.4,7221,"963"
"Onslow County",37133,8.2,8951,"927"
"Buncombe County",37021,8.1,16059,"902"
"Cumberland County",37051,8.0,16602,"877"
"Transylvania County",37175,8.0,2023,"875"
"Carteret County",37031,7.9,4094,"854"
"Currituck County",37053,7.7,1530,"807"
"Moore County",37125,7.7,5464,"798"
"Polk County",37149,7.3,1113,"696"
"Brunswick County",37019,7.2,7671,"660"
"Watauga County",37189,6.9,2195,"573"
"Wake County",37183,6.3,47387,"437"
"Orange County",37135,6.3,5787,"421"
"New Hanover County",37129,6.2,9653,"398"
"Dare County",37055,4.7,1296,"147"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 7/25/2023. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education (Less than High School), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#education."
