Income (Median household income) for North Carolina by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2017-2021"
Sorted by Value

County, FIPS,Value (Dollars),Rank within US (of 3141 counties)
"North Carolina",37000,60516.000000000,"41 of 51"
"United States",00000,69021.000000000,"N/A"
"Washington County",37187,32937.000000000,"3,087"
"Robeson County",37155,36736.000000000,"3,012"
"Bertie County",37015,37571.000000000,"2,993"
"Halifax County",37083,37832.000000000,"2,986"
"Richmond County",37153,38926.000000000,"2,947"
"Alleghany County",37005,38930.000000000,"2,946"
"Bladen County",37017,39259.000000000,"2,939"
"Warren County",37185,39588.000000000,"2,923"
"Northampton County",37131,39764.000000000,"2,910"
"Anson County",37007,39862.000000000,"2,904"
"Scotland County",37165,39866.000000000,"2,903"
"Columbus County",37047,40562.000000000,"2,875"
"Tyrrell County",37177,40938.000000000,"2,856"
"Lenoir County",37107,41092.000000000,"2,850"
"Martin County",37117,41798.000000000,"2,815"
"Edgecombe County",37065,41974.000000000,"2,802"
"Graham County",37075,41977.000000000,"2,801"
"Jones County",37103,42401.000000000,"2,779"
"Cherokee County",37039,43319.000000000,"2,724"
"Hertford County",37091,43523.000000000,"2,708"
"Ashe County",37009,43938.000000000,"2,674"
"Sampson County",37163,45127.000000000,"2,591"
"Vance County",37181,45243.000000000,"2,579"
"Yancey County",37199,45324.000000000,"2,573"
"Rutherford County",37161,45500.000000000,"2,563"
"Cleveland County",37045,45646.000000000,"2,555"
"Duplin County",37061,45744.000000000,"2,540"
"Greene County",37079,45766.000000000,"2,539"
"Wilkes County",37193,46079.000000000,"2,520"
"Chowan County",37041,46288.000000000,"2,497"
"Avery County",37011,46383.000000000,"2,491"
"Rockingham County",37157,46993.000000000,"2,438"
"Clay County",37043,47155.000000000,"2,429"
"Wilson County",37195,47348.000000000,"2,409"
"Jackson County",37099,47989.000000000,"2,366"
"Burke County",37023,48142.000000000,"2,358"
"Macon County",37113,48169.000000000,"2,357"
"Mitchell County",37121,48320.000000000,"2,349"
"Caldwell County",37027,48549.000000000,"2,331"
"Hyde County",37095,48577.000000000,"2,328"
"Swain County",37173,48608.000000000,"2,326"
"Watauga County",37189,48786.000000000,"2,309"
"Wayne County",37191,49488.000000000,"2,263"
"Pitt County",37147,50422.000000000,"2,189"
"McDowell County",37111,50615.000000000,"2,171"
"Montgomery County",37123,50618.000000000,"2,169"
"Cumberland County",37051,50746.000000000,"2,155"
"Surry County",37171,50881.000000000,"2,140"
"Yadkin County",37197,51348.000000000,"2,098"
"Madison County",37115,51396.000000000,"2,092"
"Randolph County",37151,51598.000000000,"2,076"
"Gates County",37073,51599.000000000,"2,075"
"Beaufort County",37013,51894.000000000,"2,048"
"Haywood County",37087,52063.000000000,"2,026"
"Pamlico County",37137,52124.000000000,"2,016"
"Stokes County",37169,52637.000000000,"1,961"
"Nash County",37127,52837.000000000,"1,934"
"Davidson County",37057,53083.000000000,"1,908"
"Perquimans County",37143,53138.000000000,"1,895"
"Caswell County",37033,53279.000000000,"1,879"
"Hoke County",37093,53456.000000000,"1,856"
"Rowan County",37159,53600.000000000,"1,842"
"Onslow County",37133,54732.000000000,"1,713"
"Alexander County",37003,55041.000000000,"1,673"
"Polk County",37149,55058.000000000,"1,670"
"Alamance County",37001,55078.000000000,"1,666"
"Person County",37145,55759.000000000,"1,590"
"Craven County",37049,56325.000000000,"1,535"
"Stanly County",37167,56462.000000000,"1,514"
"Pasquotank County",37139,56510.000000000,"1,510"
"Gaston County",37071,56819.000000000,"1,480"
"Forsyth County",37067,56830.000000000,"1,479"
"Lee County",37105,57674.000000000,"1,409"
"Transylvania County",37175,57830.000000000,"1,392"
"Catawba County",37035,57840.000000000,"1,391"
"Guilford County",37081,58646.000000000,"1,297"
"Harnett County",37085,59676.000000000,"1,211"
"Buncombe County",37021,59699.000000000,"1,206"
"Henderson County",37089,59928.000000000,"1,184"
"Granville County",37077,60606.000000000,"1,130"
"Carteret County",37031,61805.000000000,"1,032"
"Franklin County",37069,62332.000000000,"992"
"New Hanover County",37129,62362.000000000,"991"
"Brunswick County",37019,64400.000000000,"822"
"Davie County",37059,64657.000000000,"804"
"Lincoln County",37109,65399.000000000,"755"
"Pender County",37141,65681.000000000,"737"
"Johnston County",37101,66026.000000000,"722"
"Iredell County",37097,66824.000000000,"679"
"Durham County",37063,67000.000000000,"674"
"Moore County",37125,67440.000000000,"649"
"Camden County",37029,68560.000000000,"592"
"Dare County",37055,69500.000000000,"537"
"Mecklenburg County",37119,73124.000000000,"406"
"Cabarrus County",37025,75765.000000000,"343"
"Chatham County",37037,76791.000000000,"308"
"Orange County",37135,79205.000000000,"262"
"Currituck County",37053,79416.000000000,"255"
"Union County",37179,88465.000000000,"153"
"Wake County",37183,88471.000000000,"152"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 7/25/2023. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median household income), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
