Poverty (Persons below poverty) for North Carolina by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2017-2021"
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US (of 3142 counties)
"North Carolina",37000,13.7,1379672,"38 of 51"
"United States",00000,12.6,40661636,"N/A"
"Robeson County",37155,27.3,31458,"3,033"
"Halifax County",37083,26.2,12615,"3,010"
"Scotland County",37165,26.1,8429,"3,000"
"Richmond County",37153,25.0,10484,"2,953"
"Bladen County",37017,24.6,7300,"2,938"
"Washington County",37187,24.2,2675,"2,927"
"Hyde County",37095,24.2,1023,"2,924"
"Bertie County",37015,24.0,4035,"2,920"
"Lenoir County",37107,23.3,12650,"2,884"
"Watauga County",37189,23.2,11203,"2,877"
"Edgecombe County",37065,22.8,11164,"2,853"
"Chowan County",37041,22.0,2975,"2,797"
"Alleghany County",37005,21.5,2321,"2,761"
"Sampson County",37163,21.4,12543,"2,755"
"Greene County",37079,21.4,3884,"2,754"
"Columbus County",37047,21.0,10245,"2,721"
"Jones County",37103,20.8,1929,"2,708"
"Northampton County",37131,20.8,3575,"2,702"
"Hertford County",37091,20.8,4114,"2,700"
"Pitt County",37147,20.7,33838,"2,693"
"Martin County",37117,19.8,4326,"2,620"
"Vance County",37181,19.4,8208,"2,592"
"Warren County",37185,19.4,3511,"2,580"
"Jackson County",37099,19.2,7551,"2,570"
"Wilson County",37195,18.9,14610,"2,530"
"Beaufort County",37013,18.7,8290,"2,505"
"Swain County",37173,18.7,2614,"2,504"
"Wayne County",37191,18.6,21389,"2,496"
"Cleveland County",37045,18.3,17794,"2,467"
"Person County",37145,18.3,7078,"2,464"
"Anson County",37007,18.3,3822,"2,461"
"Rutherford County",37161,18.2,11572,"2,453"
"Rockingham County",37157,18.2,16265,"2,451"
"Duplin County",37061,18.2,8958,"2,440"
"Burke County",37023,18.1,15490,"2,435"
"Cumberland County",37051,18.0,57149,"2,418"
"Hoke County",37093,17.9,9060,"2,398"
"Wilkes County",37193,17.3,11293,"2,318"
"Caswell County",37033,17.1,3698,"2,279"
"Cherokee County",37039,16.9,4757,"2,249"
"Rowan County",37159,16.8,23768,"2,224"
"Tyrrell County",37177,16.7,449,"2,215"
"Surry County",37171,16.6,11691,"2,196"
"Macon County",37113,16.3,5925,"2,153"
"Forsyth County",37067,15.6,57871,"2,032"
"Montgomery County",37123,15.6,3877,"2,022"
"Yadkin County",37197,15.4,5685,"1,998"
"Lee County",37105,15.1,9290,"1,935"
"Randolph County",37151,15.1,21467,"1,924"
"Harnett County",37085,14.9,19394,"1,892"
"Stokes County",37169,14.8,6486,"1,857"
"Yancey County",37199,14.7,2686,"1,846"
"Nash County",37127,14.7,13630,"1,841"
"Guilford County",37081,14.5,75142,"1,809"
"Davidson County",37057,14.5,24111,"1,804"
"Granville County",37077,14.4,8327,"1,781"
"Alamance County",37001,14.4,23671,"1,777"
"Pamlico County",37137,14.3,1653,"1,756"
"Clay County",37043,14.2,1549,"1,737"
"Craven County",37049,14.2,13598,"1,732"
"Ashe County",37009,14.0,3675,"1,691"
"Gates County",37073,13.9,1457,"1,681"
"McDowell County",37111,13.8,6011,"1,664"
"Madison County",37115,13.8,2811,"1,661"
"New Hanover County",37129,13.6,29750,"1,619"
"Caldwell County",37027,13.4,10658,"1,558"
"Graham County",37075,13.4,1067,"1,553"
"Stanly County",37167,13.3,8037,"1,546"
"Onslow County",37133,13.3,23993,"1,541"
"Avery County",37011,13.3,1947,"1,535"
"Durham County",37063,13.2,40371,"1,507"
"Gaston County",37071,13.1,29172,"1,492"
"Pasquotank County",37139,13.1,4926,"1,484"
"Transylvania County",37175,13.1,4187,"1,482"
"Perquimans County",37143,13.1,1688,"1,481"
"Mitchell County",37121,13.0,1889,"1,450"
"Catawba County",37035,12.8,20118,"1,424"
"Davie County",37059,12.6,5317,"1,369"
"Orange County",37135,12.6,17024,"1,367"
"Johnston County",37101,12.5,26252,"1,364"
"Pender County",37141,12.5,7354,"1,351"
"Haywood County",37087,12.4,7541,"1,315"
"Alexander County",37003,11.5,4056,"1,106"
"Franklin County",37069,11.3,7480,"1,051"
"Buncombe County",37021,10.9,28397,"966"
"Lincoln County",37109,10.7,9082,"919"
"Mecklenburg County",37119,10.6,114598,"888"
"Chatham County",37037,10.5,7810,"871"
"Henderson County",37089,10.4,11856,"849"
"Brunswick County",37019,10.2,13576,"804"
"Iredell County",37097,9.8,17801,"708"
"Carteret County",37031,9.7,6493,"697"
"Moore County",37125,9.7,9398,"681"
"Polk County",37149,9.5,1824,"642"
"Cabarrus County",37025,9.4,20594,"615"
"Wake County",37183,8.5,93182,"455"
"Currituck County",37053,8.3,2274,"430"
"Union County",37179,7.2,16712,"258"
"Dare County",37055,6.8,2483,"209"
"Camden County",37029,6.2,646,"152"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 7/25/2023. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty (Persons below poverty), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#poverty."
