Workforce (Unemployed) for North Carolina by County
"All Races (includes Hispanic/Latino), Both Sexes, Ages 16+, 2017-2021"
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US (of 3142 counties)
"United States",00000,5.5,9161615,"N/A"
"North Carolina",37000,5.3,273629,"29 of 51"
"Scotland County",37165,11.3,1604,"3,056"
"Martin County",37117,10.4,1070,"3,026"
"Gates County",37073,9.7,485,"2,991"
"Lenoir County",37107,9.3,2320,"2,951"
"Edgecombe County",37065,9.3,2057,"2,949"
"Washington County",37187,9.2,401,"2,939"
"Warren County",37185,9.1,721,"2,935"
"Richmond County",37153,8.9,1737,"2,912"
"Watauga County",37189,8.9,2550,"2,908"
"Hertford County",37091,8.5,781,"2,864"
"Halifax County",37083,8.5,1680,"2,860"
"Wilson County",37195,8.2,3028,"2,812"
"Cumberland County",37051,8.0,10964,"2,794"
"Yancey County",37199,7.9,646,"2,777"
"Swain County",37173,7.7,473,"2,755"
"Northampton County",37131,7.6,557,"2,729"
"Hoke County",37093,7.5,1536,"2,699"
"Pitt County",37147,7.4,6430,"2,683"
"Anson County",37007,7.3,717,"2,650"
"Duplin County",37061,7.2,1691,"2,637"
"Pender County",37141,7.2,2047,"2,620"
"Bertie County",37015,7.2,506,"2,619"
"Cleveland County",37045,7.1,3274,"2,616"
"Rowan County",37159,7.1,4970,"2,590"
"Nash County",37127,7.0,3236,"2,587"
"Onslow County",37133,6.9,4913,"2,539"
"Greene County",37079,6.9,600,"2,533"
"Hyde County",37095,6.8,118,"2,513"
"Jackson County",37099,6.8,1368,"2,499"
"Beaufort County",37013,6.7,1343,"2,491"
"Sampson County",37163,6.7,1797,"2,477"
"Robeson County",37155,6.7,3133,"2,469"
"Rockingham County",37157,6.7,2832,"2,467"
"Vance County",37181,6.5,1294,"2,416"
"Franklin County",37069,6.5,2166,"2,403"
"Jones County",37103,6.4,259,"2,371"
"Mitchell County",37121,6.4,437,"2,370"
"McDowell County",37111,6.3,1284,"2,337"
"Harnett County",37085,6.1,3514,"2,273"
"Burke County",37023,6.1,2537,"2,255"
"Rutherford County",37161,6.1,1694,"2,246"
"Dare County",37055,6.1,1212,"2,234"
"Bladen County",37017,6.0,730,"2,219"
"Graham County",37075,5.9,205,"2,185"
"Catawba County",37035,5.8,4647,"2,134"
"Wilkes County",37193,5.8,1730,"2,133"
"Caswell County",37033,5.8,580,"2,110"
"Caldwell County",37027,5.8,2192,"2,102"
"Camden County",37029,5.7,291,"2,095"
"Avery County",37011,5.7,411,"2,079"
"Craven County",37049,5.7,2405,"2,068"
"Chowan County",37041,5.7,336,"2,056"
"Pamlico County",37137,5.6,265,"2,017"
"Brunswick County",37019,5.5,3129,"1,983"
"Guilford County",37081,5.5,15364,"1,981"
"Stokes County",37169,5.4,1137,"1,864"
"Davidson County",37057,5.4,4250,"1,863"
"Gaston County",37071,5.3,6067,"1,857"
"Columbus County",37047,5.3,1061,"1,819"
"Forsyth County",37067,5.3,9839,"1,812"
"Person County",37145,5.2,1029,"1,809"
"Lee County",37105,5.2,1558,"1,772"
"Granville County",37077,5.2,1500,"1,766"
"Pasquotank County",37139,5.2,965,"1,760"
"Perquimans County",37143,5.2,285,"1,745"
"Ashe County",37009,5.1,660,"1,721"
"Carteret County",37031,5.1,1624,"1,699"
"Alamance County",37001,5.1,4253,"1,696"
"Cabarrus County",37025,5.1,5912,"1,682"
"New Hanover County",37129,5.0,5953,"1,629"
"Transylvania County",37175,4.9,742,"1,606"
"Davie County",37059,4.9,1002,"1,579"
"Yadkin County",37197,4.8,854,"1,542"
"Iredell County",37097,4.8,4597,"1,536"
"Alexander County",37003,4.8,828,"1,527"
"Durham County",37063,4.7,8170,"1,466"
"Stanly County",37167,4.7,1394,"1,441"
"Cherokee County",37039,4.6,542,"1,410"
"Randolph County",37151,4.6,3201,"1,405"
"Mecklenburg County",37119,4.6,28741,"1,402"
"Alleghany County",37005,4.6,207,"1,351"
"Union County",37179,4.5,5583,"1,331"
"Surry County",37171,4.5,1520,"1,327"
"Lincoln County",37109,4.5,1948,"1,305"
"Wayne County",37191,4.4,2388,"1,275"
"Orange County",37135,4.4,3339,"1,242"
"Wake County",37183,4.3,26589,"1,207"
"Moore County",37125,4.3,1845,"1,204"
"Johnston County",37101,4.3,4550,"1,159"
"Macon County",37113,4.2,669,"1,125"
"Henderson County",37089,3.8,2129,"883"
"Polk County",37149,3.8,338,"873"
"Tyrrell County",37177,3.6,48,"797"
"Haywood County",37087,3.5,1011,"732"
"Buncombe County",37021,3.4,4665,"689"
"Chatham County",37037,3.4,1231,"681"
"Montgomery County",37123,3.4,365,"648"
"Clay County",37043,3.2,151,"567"
"Madison County",37115,2.7,264,"385"
"Currituck County",37053,2.5,358,"325"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 7/25/2023. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce (Unemployed), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#workforce."
